Id,IDRECIPE,STEP,DESCRIPTION,CREATED,CREATED_BY,UPDATED,UPDATED_BY
63,28,4,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/bol_48.png"" alt=""Bol"" title=""Bol"">
  <figcaption>Bol</figcaption>
</figure></div><ul><li>Cebolleta → picada diamante</li><li>Bonito desmigado</li><li>Huevos cocidos y picados</li><li>Mayonesa</li><li><span class=""text-big"">⇒</span> Mezclar</li><li>Rallar por encima yema reservada paso 1</li><li>Vinagre modena reducido por encima</li></ul></div>",2023-05-21T17:44:30,JORTRI,2023-05-22T12:01:03,JORTRI
65,29,2,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/sarten_48.png"" alt=""Sartén"" title=""Sartén"">
  <figcaption>Sartén</figcaption>
</figure></div><ul><li>Queso cabra en medallón</li><li><span class=""text-big"">⇒</span> Fuego fuerte</li></ul></div>",2023-05-21T17:49:20,JORTRI,2023-05-22T12:05:14,JORTRI
80,35,1,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
 <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v21/imagenes_cocina/cazuela_48.png"" alt=""Cacerola"" title=""Cacerola"">
 <figcaption>Cacerola</figcaption>
</figure></div><ul><li>Buen chorro aceite</li><li>Ternera salpimentada</li><li><span class=""text-big"">⇒</span> Freir</li></ul></div>",2023-05-23T17:37:30,JORTRI,2023-05-23T17:37:30,JORTRI
40,24,2,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/cazo_48.png"" alt=""Cazo"" title=""Cazo"">
  <figcaption>Cazo</figcaption>
</figure></div><p>mismo paso 1 +:</p><ul><li>Tomate frito</li><li>Vino blanco</li><li>Vaso agua</li><li><span class=""text-big"">⇒</span> Hervir fuego suave 10'</li><li>+ Perejil picado</li></ul></div>",2023-05-21T16:52:42,JORTRI,2023-05-22T12:12:36,JORTRI
49,25,5,<p>Salsa paso 1 → Triturar y colar</p><p>&nbsp;</p>,2023-05-21T17:11:22,JORTRI,2023-05-21T17:11:22,JORTRI
38,23,6,"<div class=""ck-content""><p>Montar lasaña en bandeja horno alta cristal:</p><figure class=""table"" style=""float:left;width:400px;""><table style=""border:2px solid hsl(0, 0%, 0%);""><tbody><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Otro queso</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Pure patata (manga pastelera?)</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Rodaja jamon</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Queso semi-liquido (o tiras o rayado)</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Tomate frito</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Cebolla/esparrago</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Pure patata (manga pastelera?)</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);""><strong><u>BASE</u></strong>: Rodaja jamon</td></tr></tbody></table></figure><p>&nbsp;</p><div class=""page-break"" style=""page-break-after:always;""><span style=""display:none;"">&nbsp;</span></div><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/horno_48.png"" alt=""Horno"" title=""Horno"">
  <figcaption>Horno</figcaption>
</figure></div><p><span class=""text-big"">⇒</span> 200º - &nbsp;5'</p><p>&nbsp;</p><p>&nbsp;</p></div>",2023-05-21T16:40:07,JORTRI,2023-05-22T12:07:36,JORTRI
53,26,3,"<div class=""ck-content""><p>Montar filete pavo:</p><figure class=""table"" style=""float:left;width:200px;""><table><tbody><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Queso: taco rectangular</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Esparrago</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Jamon cocido</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Sal/Pimienta</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);""><strong>Base</strong>: Filete pavo</td></tr></tbody></table></figure><p>&nbsp;</p><div class=""page-break"" style=""page-break-after:always;""><span style=""display:none;"">&nbsp;</span></div><p>Enrollar y con palillos fijar el rollo</p><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/horno_48.png"" alt=""Horno"" title=""Horno"">
  <figcaption>Horno</figcaption>
</figure></div><ul><li>Rollos, aceite por encima</li><li>200º - 15'</li></ul></div>",2023-05-21T17:22:03,JORTRI,2023-05-22T12:11:10,JORTRI
71,32,1,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
 <img src=""https://cdn.pixabay.com/photo/2020/03/28/17/01/eggplant-4977808_960_720.png"" alt=""Berenjena"" title=""Berenejena"" width=""50px"" height=""50px"">
 <figcaption>Berenjena</figcaption>
</figure></div><ul><li>Limpiar</li><li>Cortar ½</li><li>Cortes en diagonal cuadricula &nbsp;</li></ul><pre><code class=""language-plaintext"">  	\/\/
	/\/\</code></pre><div class=""raw-html-embed""><figure>
 <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v21/imagenes_cocina/horno_48.png"" alt=""Horno"" title=""Horno"">
 <figcaption>Horno</figcaption>
</figure></div><ul><li>Bandeja colocar mitades berenjena</li><li>Sazonar</li><li>Regar con aceite</li></ul><p><span class=""text-big"">⇒</span> 200º - 20'&nbsp;</p></div>",2023-05-23T16:38:08,JORTRI,2023-06-09T11:09:54,JORTRI
81,35,2,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
 <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v21/imagenes_cocina/cazuela_48.png"" alt=""Cacerola"" title=""Cacerola"">
 <figcaption>Cacerola</figcaption>
</figure></div><p>paso 1 +</p><ul><li>Cebolla muy picada</li><li>Tomates pelados</li><li>Zanahorias peladas en rodajas</li><li>Guisantes</li><li><span class=""text-big"">⇒</span> Sofreir</li></ul><p style=""margin-left:40px;"">+</p><ul><li>1 cucharada harina</li><li><span class=""text-big"">⇒</span> Remover</li></ul><p style=""margin-left:40px;"">+</p><ul><li>Cubrir agua</li><li><span class=""text-big"">⇒</span> Hervir 1 hora &nbsp;<mark class=""marker-yellow"">→ o carne bien cocinada</mark></li><li>Probar y rectificar sal/pimienta</li></ul></div>",2023-05-23T17:40:07,JORTRI,2023-05-23T17:40:29,JORTRI
82,36,1,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
 <img src=""https://cdn.pixabay.com/photo/2013/07/13/01/22/vegetables-155616_960_720.png"" alt=""Verduras"" title=""Verduras"" widht=""50px"" height=""50px"">
 <figcaption>Verduras</figcaption>
</figure></div><ul><li>Pelar y cortar a tacos toda</li></ul></div>",2023-05-23T17:46:29,JORTRI,2023-05-23T17:46:29,JORTRI
83,36,2,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
 <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v21/imagenes_cocina/horno_48.png"" alt=""Horno"" title=""Horno"">
 <figcaption>Horno</figcaption>
</figure></div><ul><li>Aceite y sal en el fondo</li><li>Pescado</li><li>Toda la verdura paso 1 por encima</li><li>Reogar con aceite</li><li>Pimienta y Avecrem espolvoreado</li><li><span class=""text-big"">⇒</span> 180º - 1 hora 30'</li></ul></div>",2023-05-23T17:48:07,JORTRI,2023-05-23T17:48:07,JORTRI
84,37,1,"<div class=""ck-content""><p>Patatas ⇒ Pelar y cortar hexágonos</p><div class=""raw-html-embed""><figure>
 <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v21/imagenes_cocina/sarten_48.png"" alt=""Sartén"" title=""Sartén"">
 <figcaption>Sartén</figcaption>
</figure></div><ul><li>Aceite freir → calentar</li><li>Patatas</li><li>Sal</li><li><span class=""text-big"">⇒ </span>Freir</li></ul><p>Escurrir patatas</p></div>",2023-05-24T11:47:14,JORTRI,2023-05-24T11:47:35,JORTRI
85,37,2,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
 <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v21/imagenes_cocina/sarten_48.png"" alt=""Sartén"" title=""Sartén"">
 <figcaption>Sartén</figcaption>
</figure></div><p>otra o limpiar anterior</p><blockquote><p><mark class=""marker-yellow"">Normalmente mas pequeña para poder formar la tortilla con suficiente grosor</mark></p></blockquote><ul><li>Gotas aceite</li><li>Patatas</li><li>Huevos batidos con Sal</li><li><span class=""text-big"">⇒</span> Cuajar</li><li>Dar la vuelta &nbsp;(Ayuda de plato)</li><li><span class=""text-big"">⇒</span> Cuajar</li></ul></div>",2023-05-24T11:49:49,JORTRI,2023-05-24T11:49:49,JORTRI
29,22,4,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/cazo_48.png"" alt=""Cazo"" title=""Cazo"">
  <figcaption>Cazo</figcaption>
</figure></div><ul><li>Agua</li><li><span class=""text-huge"">⇒</span> Hervir</li></ul><p style=""margin-left:40px;"">+</p><ul><li>Huevos</li><li><span class=""text-huge"">⇒</span> 15'</li></ul></div>",2023-05-21T16:04:43,JORTRI,2023-05-22T12:02:16,JORTRI
30,22,5,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/bol_48.png"" alt=""Bol"" title=""Bol"">
  <figcaption>Bol</figcaption>
</figure></div><ul><li>1 diente ajo picado</li><li>Pimientos en tiras</li><li>Sal</li><li>Chorro grande aceite</li><li>Chorro Jerez blanco</li><li><span class=""text-huge"">⇒</span> Mezclar</li></ul></div>",2023-05-21T16:20:49,JORTRI,2023-05-22T12:02:50,JORTRI
44,24,6,"<div class=""ck-content""><p>Emplatado:</p><figure class=""table"" style=""float:left;width:200px;""><table style=""border:2px solid hsl(0, 0%, 0%);""><tbody><tr><td style=""border:2px solid hsl(0, 0%, 0%);""><strong>Encima</strong>: San Jacobo</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);""><strong>Base</strong>: Salsa paso 2</td></tr></tbody></table></figure></div>",2023-05-21T16:59:00,JORTRI,2023-05-21T16:59:12,JORTRI
45,25,1,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/cazo_48.png"" alt=""Cazo"" title=""Cazo"">
  <figcaption>Cazo</figcaption>
</figure></div><ul><li>Aceite 3 cucharadas</li><li>Cebolleta picada <mark class=""marker-yellow"">(NOTA: quizá hacer un poco antes la cebolleta sola??)</mark></li><li>Pimienta / Sal</li><li>Vaso vino blanco</li><li><span class=""text-big"">⇒</span> Reducir (solo un poco de agua al final)</li></ul></div>",2023-05-21T17:05:53,JORTRI,2023-05-22T12:09:54,JORTRI
47,25,3,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/sarten_48.png"" alt=""Sartén"" title=""Sartén"">
  <figcaption>Sartén</figcaption>
</figure></div><ul><li>Aceite</li><li>Chistorra</li><li><span class=""text-big"">⇒</span> Hacerla</li></ul></div>",2023-05-21T17:08:28,JORTRI,2023-05-22T12:10:24,JORTRI
50,25,6,<p>Emplatado:</p><ul><li>Nido</li><li>Salsa al lado</li></ul>,2023-05-21T17:11:39,JORTRI,2023-05-21T17:11:39,JORTRI
51,26,1,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/cazuela_48.png"" alt=""Cacerola"" title=""Cacerola"">
  <figcaption>Cacerola</figcaption>
</figure></div><ul><li>Aceite</li><li>Cebolla troceada</li><li><span class=""text-big"">⇒</span> Pochar</li></ul><p style=""margin-left:40px;"">+</p><ul><li>Calabaza troceada</li><li>Patata pelada y troceada</li><li>Cubrir con agua</li><li><span class=""text-big"">⇒</span> 15 ' (tras hervir)</li></ul></div>",2023-05-21T17:18:06,JORTRI,2023-05-22T12:10:40,JORTRI
52,26,2,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/cazo_48.png"" alt=""Cazo"" title=""Cazo"">
  <figcaption>Cazo</figcaption>
</figure></div><ul><li>Agua</li><li>Sal</li><li>Esparragos</li><li><span class=""text-big"">⇒</span> 4' (tras hervir)</li></ul></div>",2023-05-21T17:19:34,JORTRI,2023-05-22T12:10:52,JORTRI
54,26,4,"<div class=""ck-content""><p><strong>Provenzal</strong></p><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/bol_48.png"" alt=""Bol"" title=""Bol"">
  <figcaption>Bol</figcaption>
</figure>
</div><ul><li>Ajo muy picado</li><li>3 cucharadas pan rallado</li><li>Perejil muy picado</li><li><span class=""text-big"">⇒</span> Mezclar bien</li></ul></div>",2023-05-21T17:23:34,JORTRI,2023-05-22T12:11:31,JORTRI
56,26,6,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/horno_48.png"" alt=""Horno"" title=""Horno"">
  <figcaption>Horno</figcaption>
</figure></div><p>con rollitos tras 15':</p><ul><li>Echar la provenzal de paso 4 por encima de rollitos</li><li><span class=""text-big"">⇒</span> Gratinar en horno</li></ul></div>",2023-05-21T17:24:49,JORTRI,2023-05-22T12:11:53,JORTRI
64,29,1,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/sarten_48.png"" alt=""Sartén"" title=""Sartén"">
  <figcaption>Sartén</figcaption>
</figure></div><ul><li>Cebolla troceada</li><li><span class=""text-big"">⇒</span> Pochar</li></ul><p style=""margin-left:40px;"">+</p><ul><li>Bacon</li><li><span class=""text-big"">⇒</span> Freir</li></ul><p style=""margin-left:40px;"">+</p><ul><li>Hamburguesa → Hacer</li></ul></div>",2023-05-21T17:48:47,JORTRI,2023-05-22T12:05:05,JORTRI
66,29,3,"<div class=""ck-content""><p>Montar:</p><figure class=""table"" style=""float:left;""><table><tbody><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;""><strong>Superior</strong>: Pan hamburguesa</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;"">Salsa yogurt</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;"">Rodaja queso cabra</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;"">Carne hamburguesa</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;"">Cebolla/bacon</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;""><strong>Base</strong>: Pan hamburguesa</td></tr></tbody></table></figure><p>&nbsp;</p><p>&nbsp;</p></div>",2023-05-21T17:51:37,JORTRI,2023-05-21T17:51:37,JORTRI
68,30,2,"<div class=""ck-content""><p>Montar:</p><figure class=""table"" style=""float:left;""><table><tbody><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;""><strong>Superior</strong>: Pan hamburguesa</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">ketchup/mostaza/mayonesa</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Cebolla</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Queso</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;"">Carne hamburguesa</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;"">Tomate rodajas</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;"">Lechuga</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;"">Picadillo de banderilla</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);width:200px;""><strong>Base</strong>: Pan hamburguesa</td></tr></tbody></table></figure><p>&nbsp;</p><p>&nbsp;</p></div>",2023-05-21T17:56:21,JORTRI,2023-05-21T17:58:51,JORTRI
34,23,2,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/cazuela_48.png"" alt=""Cacerola"" title=""Cacerola"">
  <figcaption>Cacerola</figcaption>
</figure></div><ul><li>Agua ⇒ Hervir</li><li>Patatas peladas y a trozos</li><li><span class=""text-huge"">⇒</span> Concer 20'&nbsp;</li></ul></div>",2023-05-21T16:31:35,JORTRI,2023-05-22T12:06:56,JORTRI
36,23,4,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/batidora_48.png"" alt=""Batidora"" title=""Batidora"">
  <figcaption>Batidora</figcaption>
</figure>
</div><ul><li>Patata cocida</li><li>Pimienta</li><li><u>Opcional</u>: Meter 1 yema de huevo</li><li><span class=""text-big"">⇒</span> Pure</li></ul></div>",2023-05-21T16:33:35,JORTRI,2023-05-22T12:07:12,JORTRI
37,23,5,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/sarten_48.png"" alt=""Sartén"" title=""Sartén"">
  <figcaption>Sartén</figcaption>
</figure></div><p>del paso 3 +:</p><ul><li>Esparragos en Juliana</li><li><span class=""text-big"">⇒</span> Hacer un poco</li></ul><p>&nbsp;</p></div>",2023-05-21T16:34:39,JORTRI,2023-05-22T12:06:22,JORTRI
39,24,1,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/cazo_48.png"" alt=""Cazo"" title=""Cazo"">
  <figcaption>Cazo</figcaption>
</figure></div><ul><li>Aceite</li><li>Ajos picados</li><li>2 cucharillas de harina</li><li><span class=""text-big"">⇒</span> Dorar</li></ul></div>",2023-05-21T16:51:39,JORTRI,2023-05-22T12:12:20,JORTRI
41,24,3,"<div class=""ck-content""><p>Calabacin → 6 rodajas finas verticales con piel → Partir mitad:</p><figure class=""table"" style=""float:left;width:200px;""><table style=""border:2px solid hsl(0, 0%, 0%);""><tbody><tr><td style=""border:2px solid hsl(0, 0%, 0%);""><strong>Superior</strong>: ½ rodaja calabacín</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">2 rodaja queso</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Jamon York</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Sal</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);""><strong>Base</strong>: ½ rodaja calabacín</td></tr></tbody></table></figure><p>&nbsp;</p><div class=""page-break"" style=""page-break-after:always;""><span style=""display:none;"">&nbsp;</span></div><p>Nuestro “san jacobo”</p></div>",2023-05-21T16:55:36,JORTRI,2023-05-21T16:55:36,JORTRI
59,27,2,"<div class=""ck-content""><p>Olla paso 1 +:</p><ul><li>Lentejas</li><li><span class=""text-big"">⇒</span> Cocer 5'&nbsp;</li></ul><p>&nbsp;</p></div>",2023-05-21T17:34:32,JORTRI,2023-05-21T17:34:32,JORTRI
